,nav
2024-11-07,1.643860947973006
2024-11-08,1.6544545260730374
2024-11-11,1.6555486833112592
2024-11-12,1.6585058279179066
2024-11-13,1.657010407695749
2024-11-14,1.6507780538557906
2024-11-15,1.6430952177147427
2024-11-18,1.6447876298494157
2024-11-19,1.645116856742844
2024-11-20,1.6453263647659344
2024-11-21,1.6458052402472845
2024-11-22,1.6455059430714407
2024-11-25,1.6611826780743348
2024-11-26,1.6622653697919505
2024-11-27,1.6620443512955776
2024-11-28,1.6617721826609428
2024-11-29,1.6629531668756503
2024-12-02,1.669501111059576
2024-12-03,1.6809787825811757
2024-12-04,1.6814508753116515
2024-12-05,1.6855032863787829
2024-12-06,1.6941340878984419
2024-12-09,1.6962209944615294
2024-12-10,1.6923045860782717
2024-12-11,1.6972339071067386
2024-12-12,1.709977519448536
2024-12-13,1.7035305284661442
2024-12-16,1.7180051305909094
2024-12-17,1.715572081143975
2024-12-18,1.7161595480005523
2024-12-19,1.6879369777342115
2024-12-20,1.6793427130984975
2024-12-23,1.6822650084594932
2024-12-24,1.6885880567602363
2024-12-25,1.6934352303421896
2024-12-26,1.689580304789337
2024-12-27,1.692293075243869
2024-12-30,1.6964214676985374
2024-12-31,1.6926547228511357
2025-01-02,1.6926152659971134
2025-01-03,1.6944579619995037
2025-01-06,1.7078613564853131
2025-01-07,1.7009099271505959
2025-01-08,1.6961422222346483
2025-01-09,1.6940293891974525
2025-01-10,1.6928657729749474
2025-01-13,1.6838271181704885
2025-01-14,1.6818711543384717
2025-01-15,1.684344977638897
2025-01-16,1.6949209242938987
2025-01-17,1.695438264592113
2025-01-20,1.7000854152979108
2025-01-21,1.6998160058301202
2025-01-22,1.7091491086278168
2025-01-23,1.7067609131561963
2025-01-24,1.71173140154749
2025-01-27,1.7035533335125141
2025-02-05,1.7380514423277205
2025-02-06,1.7371027713372196
2025-02-07,1.7377940718245934
2025-02-10,1.7497359745293688
2025-02-11,1.7598252025456296
2025-02-12,1.753179792692927
2025-02-13,1.758668972662058
2025-02-14,1.7667194895505611
2025-02-17,1.7510785109113451
2025-02-18,1.7619121952018668
2025-02-19,1.7669734999013296
2025-02-20,1.76657620660557
2025-02-21,1.757819430282685
2025-02-24,1.7560408824406382
2025-02-25,1.7563899549281796
2025-02-26,1.7568342290032326
2025-02-27,1.7543431207966858
2025-02-28,1.7551999350842882
2025-03-03,1.7575621490610367
2025-03-04,1.7619232837282648
2025-03-05,1.767819538929718
2025-03-06,1.7657140089200836
2025-03-07,1.7630902886358615
2025-03-10,1.764697638574781
2025-03-11,1.7605296248503797
2025-03-12,1.7635575348089636
2025-03-13,1.7695775400631135
2025-03-14,1.7812219861614471
2025-03-17,1.7808200734486943
2025-03-18,1.7843957678593205
2025-03-19,1.7962939198348264
2025-03-20,1.7923496784534418
2025-03-21,1.788346969225135
2025-03-24,1.7952773675102531
2025-03-25,1.80177138520196
2025-03-26,1.800522986715109
2025-03-27,1.8047924085269276
2025-03-28,1.81726748386015
2025-03-31,1.827771677324869
2025-04-01,1.837015464911847
2025-04-02,1.837003364205475
2025-04-03,1.8448307329073206
2025-04-07,1.7780848917064447
2025-04-08,1.80334771518959
2025-04-09,1.8084148579785302
2025-04-10,1.831294728029998
